Order_Id,Customer_Name,Customer_Email,Sales_Rep_Id,Product_Id,Quantity,Unit_Price,Total_Amount,Order_Date,Status,Ship_Date,Payment_Method
ORD001,TechCorp Solutions,contact@techcorp.com,SR001,PROD001,2,2499.99,4999.98,2025-09-15,Completed,2025-09-17,Credit Card
ORD002,Global Dynamics,orders@globaldyn.com,SR002,PROD003,1,3299.99,3299.99,2025-09-14,Completed,2025-09-16,Wire Transfer
ORD003,StartupXYZ,info@startupxyz.com,SR003,PROD006,3,1499.99,4499.97,2025-09-13,Processing,2025-09-20,Credit Card
ORD004,MegaCorp Industries,procurement@megacorp.com,SR004,PROD005,1,4999.99,4999.99,2025-09-12,Completed,2025-09-14,Purchase Order
ORD005,InnovateTech,sales@innovatetech.com,SR005,PROD002,2,1899.99,3799.98,2025-09-11,Shipped,2025-09-13,Credit Card
ORD006,Digital Solutions Ltd,contact@digitalsol.com,SR006,PROD007,1,2199.99,2199.99,2025-09-10,Completed,2025-09-12,Wire Transfer
ORD007,CloudFirst Company,orders@cloudfirst.com,SR007,PROD004,5,899.99,4499.95,2025-09-09,Processing,2025-09-16,Credit Card
ORD008,SecureNet Systems,info@securenet.com,SR008,PROD005,2,4999.99,9999.98,2025-09-08,Completed,2025-09-10,Purchase Order
ORD009,AppDev Studios,contact@appdev.com,SR009,PROD002,1,1899.99,1899.99,2025-09-07,Shipped,2025-09-09,Credit Card
ORD010,DataFlow Corp,orders@dataflow.com,SR010,PROD003,2,3299.99,6599.98,2025-09-06,Completed,2025-09-08,Wire Transfer
ORD011,NextGen Solutions,info@nextgen.com,SR001,PROD009,3,1799.99,5399.97,2025-09-05,Processing,2025-09-12,Credit Card
ORD012,CloudTech Partners,sales@cloudtech.com,SR002,PROD010,2,1299.99,2599.98,2025-09-04,Completed,2025-09-06,Purchase Order
ORD013,WebBuild Inc,contact@webbuild.com,SR003,PROD007,2,2199.99,4399.98,2025-09-03,Shipped,2025-09-05,Credit Card
ORD014,TrainingPro LLC,orders@trainingpro.com,SR004,PROD008,10,599.99,5999.90,2025-09-02,Completed,2025-09-04,Wire Transfer
ORD015,ApiMaster Corp,info@apimaster.com,SR005,PROD009,1,1799.99,1799.99,2025-09-01,Processing,2025-09-08,Credit Card
ORD016,BackupGuard Systems,contact@backupguard.com,SR006,PROD010,3,1299.99,3899.97,2025-08-31,Completed,2025-09-02,Purchase Order
ORD017,SmartAnalytics Inc,sales@smartanalytics.com,SR007,PROD003,1,3299.99,3299.99,2025-08-30,Shipped,2025-09-01,Credit Card
ORD018,ProjectFlow Solutions,orders@projectflow.com,SR008,PROD006,2,1499.99,2999.98,2025-08-29,Completed,2025-08-31,Wire Transfer
ORD019,CyberShield Corp,info@cybershield.com,SR009,PROD005,1,4999.99,4999.99,2025-08-28,Processing,2025-09-04,Purchase Order
ORD020,MobileFirst Dev,contact@mobilefirst.com,SR010,PROD002,3,1899.99,5699.97,2025-08-27,Completed,2025-08-29,Credit Card
